# schema_version=1
# Controlled logical-document assignments. Keep one row for every allowlisted asset;
# OCR/renamed/revision assets that belong to one logical document reuse its document ID.
relative_path	document_logical_id
2.书籍/260824 扫描文件/大型汽轮发电机组典型故障案例分析.pdf	doc-002b22a718460a933d43
2.书籍/260824 扫描文件/电厂汽轮机原理及系统.pdf	doc-1e3db6d63a7742cbbf28
2.书籍/260824 扫描文件/电气设备分册.pdf	doc-d37e028eaf233766238f
2.书籍/260824 扫描文件/汽轮发电机组毁机事故及其失效分析.pdf	doc-1e3002ed1b7f789d658e
2.书籍/260824 扫描文件/汽轮发电机组振动故障诊断及案例.pdf	doc-4921d826cc280411b4d6
2.书籍/260824 扫描文件/汽轮发电机组振动与处理.pdf	doc-58dd9a27234431e6fcc2
2.书籍/260824 扫描文件/汽轮发电机组振动诊断技术问答.pdf	doc-e904369e8e2bc7a3a8e0
2.书籍/260824 扫描文件/汽轮机本体安装（第二版）.pdf	doc-416aeb405528d8d6936d
2.书籍/260824 扫描文件/汽轮机调速安装（第二版）.pdf	doc-21f4a5ce091f35589202
2.书籍/260824 扫描文件/汽轮机辅机安装（第二版）.pdf	doc-2e6846eb4bb57309a4ee
2.书籍/260824 扫描文件/汽轮机设备安装与检修问题.pdf	doc-a177e1b74200b5375042
2.书籍/260824 扫描文件/汽轮机设备及运行（第三版）.pdf	doc-2e377191401c90f46b75
2.书籍/260824 扫描文件/汽轮机设备检修（第二版）.pdf	doc-263381d49aa5077b5b88
2.书籍/260824 扫描文件/汽轮机振动故障与现场诊断方法.pdf	doc-7b73a8c7cb307c8fac4d
2.书籍/260824 扫描文件/压水堆核电厂系统与设备.pdf	doc-1b7cfada5c7d45e0fa42
2.书籍/260824 扫描文件/油液监测与智能诊断.pdf	doc-700fed24a6604b941758
2.书籍/大功率汽轮发电机组转子与支撑系统振动 李录平，晋风华，张世海，陈向民 2017年版.pdf	doc-72a95a9847412e6b9832
2.书籍/汽轮发电机组转子及结构振动 王延博 编 2016年版.pdf	doc-d52a47597bd38901451b
标准法规/行业标准目录.pdf	doc-3063e05c673d1be9d39f
标准法规/DL／T+1766.2—2019+水氢氢冷汽轮发电机检修导则+第2部分：定子检修.pdf	doc-86bf565b83bd94e6d164
标准法规/DL／T+1766.3—2019+水氢氢冷汽轮发电机检修导则+第3部分：转子检修.pdf	doc-b0ee4b9e6c0265bfb5a8
标准法规/DL／T+1766.4—2021　水氢氢冷汽轮发电机检修导则　第4部分：氢气冷却系统检修.pdf	doc-a4abd2c011bb4888fab5
标准法规/DL／T+490—2024+发电机励磁系统及装置安装验收规程.pdf	doc-c73ce7e613b07ccfdee1
标准法规/DL／T+608—2019+300MW～+600MW级汽轮机运行导则（代替DL／T+608—1996、+DL／T+609—1996）.pdf	doc-ee7056bc95b312fcc488
标准法规/DL／T+711—2019+汽轮机调节保安系统试验导则（代替DL／T+711—1999）.pdf	doc-420a1f74053932545010
标准法规/DL5190.3—2019电力建设施工技术规范第3部分：汽轮发电机组.pdf	doc-24b25833ab82e212d1fb
标准法规/DLT 5210.3-2018 电力建设施工质量验收规程 第3部分：汽轮发电机组.pdf	doc-0cda83291cb435814962
标准法规/DLT 863-2016汽轮机启动调试导则.pdf	doc-7a1d2e663bf13813d7b7
OCR/DLT 863-2016汽轮机启动调试导则(OCR).pdf	doc-7a1d2e663bf13813d7b7
OCR/汽轮机辅机安装（第二版）(OCR).pdf	doc-2e6846eb4bb57309a4ee
OCR/HAF103核动力厂调试和运行安全规定-印刷页3-34(OCR).pdf	doc-a1f2fbf6ee4b0277e46a
标准法规/DLT+1430—2025变电设备在线监测系统技术导则.pdf	doc-1aa97c7b48e3f06094c5
标准法规/DLT+1766.5—2021《水氢氢冷汽轮发电机检修导则++第5部分：内冷水系统检修》.pdf	doc-19384e8ed62b11adf57f
标准法规/DLT+1766.6-2023+水氢氢冷汽轮发电机检修导则+第6部分：励磁系统检修.pdf	doc-52a08ef4e4361819841c
标准法规/DLT+1766.7-2023+水氢氢冷汽轮发电机检修导则+第7部分：附属系统检修.pdf	doc-304c9923536e97dfc496
标准法规/DLT+2092—2020+火力发电机组电气启动试验规程.pdf	doc-3ac99b69b7c700157d14
标准法规/DLT+970-2023+大型汽轮发电机非正常及特殊运行及维护导则.pdf	doc-108b53e5066cff95e7c1
标准法规/DLT1164-2012汽轮发电机运行导则.pdf	doc-d2df3499f525b0045d84
标准法规/HAD103核电厂调试程序续.pdf	doc-2d76f424651ef5c9125d
标准法规/HAF 003-1991及HAD 003汇编 核电厂质量保证法规和导则 .pdf	doc-9bd4b7750435ba4cd3bb
标准法规/HAF102核动力厂设计安全规定.pdf	doc-28be8d7b620a3276e5ed
标准法规/HAF103核动力厂调试和运行安全规定.pdf	doc-a1f2fbf6ee4b0277e46a
标准法规/NB／T+10933—2022+核电厂常规岛汽轮机技术监督导则.pdf	doc-d8941d2b344e903d4daa
标准法规/NB／T+25105—2020+核电厂汽轮机保护系统调试导则_1_1_钱兴根_易维鑫_.pdf	doc-1f4f7c6029b5405bd892
标准法规/NBT 10604.2—2021 核电厂常规岛及辅助配套设施建设施工质量验收规程+第2部分：汽轮发电机组.pdf	doc-64d7101432c7912e14e4
标准法规/NBT+25103—2019压水堆核电厂发电机冷却系统调试导则_1_1_钱兴根.pdf	doc-14fabb7edaea01607c23
汽轮机说明书/汽轮机本体安装及维护说明书.pdf	doc-af7fa1738c5c89599e41
OCR/汽轮机本体安装及维护说明书(OCR).pdf	doc-af7fa1738c5c89599e41
